,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1907,361,3,224782_1447.jpg,http://memoria.bn.br/docreader/224782/1447
1,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,699,1,224782_2837.jpg,http://memoria.bn.br/docreader/224782/2837
2,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,700,1,224782_2841.jpg,http://memoria.bn.br/docreader/224782/2841
3,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,701,1,224782_2845.jpg,http://memoria.bn.br/docreader/224782/2845
4,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,702,1,224782_2849.jpg,http://memoria.bn.br/docreader/224782/2849
5,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,703,1,224782_2853.jpg,http://memoria.bn.br/docreader/224782/2853
6,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,705,1,224782_2861.jpg,http://memoria.bn.br/docreader/224782/2861
7,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,706,1,224782_2865.jpg,http://memoria.bn.br/docreader/224782/2865
8,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,707,1,224782_2869.jpg,http://memoria.bn.br/docreader/224782/2869
9,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,709,1,224782_2877.jpg,http://memoria.bn.br/docreader/224782/2877
10,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,010,1,224782_2881.jpg,http://memoria.bn.br/docreader/224782/2881
11,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,011,2,224782_2886.jpg,http://memoria.bn.br/docreader/224782/2886
12,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,714,2,224782_2898.jpg,http://memoria.bn.br/docreader/224782/2898
13,"""honorio menelik""",2024-04-20,O Seculo (RJ) - 1906 a 1916,1908,715,2,224782_2902.jpg,http://memoria.bn.br/docreader/224782/2902
